frame 67/600	9.322s	[-92.237, 0.085, -60.304]	[1.89, 1.279, 1.137, 0.501, 1.894, 0.501, 5.873, 0.282, 0.496]	saved figure 66.png
frame 68/600	9.910s	[0.433, -0.01, 10.691]	[1.912, 1.275, 1.152, 0.503, 1.951, 0.503, 5.936, 0.255, 0.504]	saved figure 67.png
frame 69/600	0.576s	[0.433, -0.01, 10.691]	[1.934, 1.272, 1.167, 0.505, 2.006, 0.505, 5.973, 0.4, 0.513]	saved figure 68.png
frame 70/600	0.555s	[0.433, -0.01, 10.691]	[1.958, 1.27, 1.181, 0.509, 2.06, 0.509, 6.019, 0.669, 0.521]	saved figure 69.png
frame 71/600	5.495s	[8.119, 0.007, -60.143]	[1.983, 1.268, 1.194, 0.514, 2.11, 0.515, 5.892, 0.992, 0.53]	saved figure 70.png
frame 72/600	15.412s	[3.575, -0.004, -11.958]	[2.01, 1.268, 1.206, 0.521, 2.158, 0.522, 5.898, 1.188, 0.539]	saved figure 71.png
frame 73/600	2.284s	[3.575, -0.004, -11.958]	[2.038, 1.268, 1.217, 0.528, 2.204, 0.531, 5.851, 1.427, 0.547]	saved figure 72.png
frame 74/600	0.506s	[3.575, -0.004, -11.958]	[2.067, 1.269, 1.227, 0.538, 2.246, 0.542, 5.794, 1.652, 0.556]	saved figure 73.png
frame 75/600	2.093s	[3.575, -0.004, -11.958]	[2.097, 1.271, 1.236, 0.548, 2.286, 0.554, 5.726, 1.859, 0.565]	saved figure 74.png
frame 76/600	0.655s	[3.575, -0.004, -11.958]	[2.127, 1.274, 1.245, 0.559, 2.323, 0.569, 5.648, 2.049, 0.574]	saved figure 75.png
frame 77/600	2.328s	[3.575, -0.004, -11.958]	[2.158, 1.277, 1.253, 0.57, 2.358, 0.585, 5.558, 2.22, 0.582]	saved figure 76.png
frame 78/600	0.925s	[3.575, -0.004, -11.958]	[2.19, 1.281, 1.26, 0.583, 2.39, 0.603, 5.458, 2.373, 0.591]	saved figure 77.png
frame 79/600	0.406s	[3.575, -0.004, -11.958]	[2.222, 1.286, 1.267, 0.596, 2.42, 0.622, 5.347, 2.508, 0.6]	saved figure 78.png
frame 80/600	0.439s	[3.575, -0.004, -11.958]	[2.255, 1.291, 1.274, 0.61, 2.448, 0.643, 5.226, 2.624, 0.609]	saved figure 79.png
frame 81/600	1.369s	[3.716, -0.004, -12.202]	[2.287, 1.296, 1.28, 0.623, 2.474, 0.666, 5.093, 2.723, 0.618]	saved figure 80.png
frame 82/600	3.200s	[6.518, -0.004, -16.921]	[2.32, 1.302, 1.287, 0.637, 2.497, 0.69, 4.935, 2.818, 0.627]	saved figure 81.png
frame 83/600	1.136s	[6.518, -0.004, -16.921]	[2.352, 1.309, 1.293, 0.651, 2.518, 0.715, 4.766, 2.895, 0.636]	saved figure 82.png
frame 84/600	0.966s	[6.518, -0.004, -16.921]	[2.384, 1.316, 1.299, 0.666, 2.536, 0.741, 4.582, 2.958, 0.645]	saved figure 83.png
frame 85/600	2.766s	[6.518, -0.004, -16.921]	[2.416, 1.323, 1.304, 0.68, 2.552, 0.768, 4.382, 3.009, 0.654]	saved figure 84.png
frame 86/600	2.552s	[6.518, -0.004, -16.921]	[2.446, 1.33, 1.31, 0.693, 2.566, 0.797, 4.168, 3.046, 0.664]	saved figure 85.png
frame 87/600	0.536s	[6.518, -0.004, -16.921]	[2.477, 1.337, 1.316, 0.707, 2.577, 0.825, 3.938, 3.07, 0.673]	saved figure 86.png
frame 88/600	0.280s	[6.518, -0.004, -16.921]	[2.506, 1.345, 1.322, 0.72, 2.586, 0.855, 3.693, 3.081, 0.682]	saved figure 87.png
frame 89/600	0.362s	[6.518, -0.004, -16.921]	[2.534, 1.353, 1.328, 0.733, 2.592, 0.885, 3.435, 3.08, 0.691]	saved figure 88.png
frame 90/600	0.315s	[6.517, -0.004, -16.921]	[2.561, 1.361, 1.334, 0.745, 2.596, 0.915, 3.164, 3.066, 0.701]	saved figure 89.png
frame 91/600	0.419s	[6.517, -0.004, -16.921]	[2.586, 1.37, 1.34, 0.757, 2.597, 0.945, 2.881, 3.04, 0.71]	saved figure 90.png
frame 92/600	0.373s	[6.517, -0.004, -16.921]	[2.61, 1.378, 1.347, 0.767, 2.596, 0.975, 2.588, 3.002, 0.72]	saved figure 91.png
frame 93/600	0.331s	[6.517, -0.004, -16.921]	[2.632, 1.386, 1.354, 0.777, 2.592, 1.005, 2.29, 2.953, 0.729]	saved figure 92.png
frame 94/600	0.316s	[6.517, -0.004, -16.921]	[2.652, 1.395, 1.361, 0.786, 2.586, 1.034, 1.992, 2.894, 0.739]	saved figure 93.png
frame 95/600	0.390s	[6.517, -0.004, -16.921]	[2.67, 1.403, 1.368, 0.794, 2.577, 1.063, 1.705, 2.825, 0.748]	saved figure 94.png
frame 96/600	0.376s	[6.517, -0.004, -16.921]	[2.686, 1.412, 1.376, 0.8, 2.566, 1.092, 1.45, 2.746, 0.758]	saved figure 95.png
frame 97/600	0.310s	[6.517, -0.004, -16.921]	[2.7, 1.42, 1.384, 0.805, 2.552, 1.119, 1.263, 2.661, 0.768]	saved figure 96.png
frame 98/600	3.359s	[-318.217, 0.175, -13.839]	[2.71, 1.429, 1.396, 0.809, 2.538, 1.146, 2.026, 2.57, 0.777]	saved figure 97.png
frame 99/600	5.529s	[20.89, 0.02, 1.215]	[2.718, 1.437, 1.41, 0.812, 2.522, 1.172, 1.985, 2.592, 0.787]	saved figure 98.png
frame 100/600	0.317s	[20.89, 0.02, 1.215]	[2.722, 1.445, 1.427, 0.814, 2.504, 1.198, 2.276, 2.604, 0.797]	saved figure 99.png
frame 101/600	0.304s	[20.89, 0.02, 1.215]	[2.725, 1.454, 1.445, 0.815, 2.485, 1.224, 2.591, 2.644, 0.807]	saved figure 100.png
frame 102/600	1.556s	[31.041, 0.012, 20.716]	[2.725, 1.463, 1.465, 0.817, 2.463, 1.251, 2.867, 2.712, 0.817]	saved figure 101.png
frame 103/600	1.803s	[31.041, 0.012, 20.716]	[2.723, 1.472, 1.486, 0.818, 2.439, 1.278, 3.148, 2.809, 0.826]	saved figure 102.png
frame 104/600	0.732s	[31.041, 0.012, 20.716]	[2.72, 1.481, 1.507, 0.82, 2.413, 1.308, 3.414, 2.934, 0.836]	saved figure 103.png
frame 105/600	0.602s	[31.041, 0.012, 20.716]	[2.717, 1.491, 1.527, 0.822, 2.384, 1.339, 3.662, 3.091, 0.846]	saved figure 104.png
frame 106/600	10.726s	[23.461, -0.011, 14.149]	[2.713, 1.501, 1.547, 0.826, 2.351, 1.372, 3.917, 3.182, 0.857]	saved figure 105.png
frame 107/600	1.130s	[24.779, -0.013, 18.955]	[2.708, 1.511, 1.565, 0.83, 2.317, 1.406, 4.141, 3.275, 0.867]	saved figure 106.png
frame 108/600	7.042s	[-63.346, -0.338, 45.85]	[2.702, 1.521, 1.583, 0.836, 2.28, 1.442, 4.416, 3.287, 0.877]	saved figure 107.png
frame 109/600	0.876s	[-60.228, -0.334, 51.604]	[2.696, 1.531, 1.601, 0.842, 2.244, 1.48, 4.649, 3.29, 0.887]	saved figure 108.png
frame 110/600	1.356s	[-55.706, -0.324, 57.907]	[2.688, 1.54, 1.619, 0.85, 2.208, 1.518, 4.861, 3.258, 0.897]	saved figure 109.png
frame 111/600	5.480s	[175.816, 0.84, -68.275]	[2.679, 1.549, 1.635, 0.859, 2.172, 1.556, 5.022, 3.193, 0.908]	saved figure 110.png
frame 112/600	5.686s	[5.133, -0.031, 17.431]	[2.669, 1.557, 1.651, 0.869, 2.136, 1.595, 5.208, 3.096, 0.918]	saved figure 111.png
frame 113/600	1.083s	[5.133, -0.031, 17.431]	[2.658, 1.564, 1.665, 0.88, 2.101, 1.633, 5.374, 2.971, 0.928]	saved figure 112.png
frame 114/600	0.948s	[5.133, -0.031, 17.431]	[2.645, 1.569, 1.678, 0.893, 2.067, 1.67, 5.527, 2.823, 0.939]	saved figure 113.png
frame 115/600	0.593s	[5.133, -0.031, 17.431]	[2.63, 1.573, 1.689, 0.907, 2.034, 1.706, 5.667, 2.659, 0.949]	saved figure 114.png
frame 116/600	1.133s	[5.133, -0.031, 17.431]	[2.614, 1.576, 1.698, 0.922, 2.002, 1.741, 5.794, 2.489, 0.96]	saved figure 115.png
frame 117/600	0.963s	[5.133, -0.031, 17.431]	[2.596, 1.576, 1.706, 0.938, 1.972, 1.774, 5.908, 2.329, 0.97]	saved figure 116.png
frame 118/600	6.084s	[-2.44, -0.011, -4.927]	[2.575, 1.574, 1.713, 0.955, 1.944, 1.804, 6.069, 2.196, 0.981]	saved figure 117.png
frame 119/600	2.334s	[1.609, -0.005, 11.832]	[2.553, 1.57, 1.718, 0.974, 1.917, 1.832, 6.172, 2.077, 0.992]	saved figure 118.png
frame 120/600	4.523s	[1.349, -0.004, 11.136]	[2.528, 1.564, 1.722, 0.993, 1.893, 1.858, 6.284, 1.983, 1.002]	saved figure 119.png
frame 121/600	8.379s	[1.081, -0.003, 10.487]	[2.501, 1.556, 1.726, 1.012, 1.871, 1.881, 6.389, 1.911, 1.013]	saved figure 120.png
frame 122/600	4.052s	[0.825, -0.003, 9.878]	[2.471, 1.547, 1.729, 1.031, 1.852, 1.901, 6.488, 1.857, 1.024]	saved figure 121.png
frame 123/600	5.930s	[0.567, -0.002, 9.308]	[2.439, 1.536, 1.733, 1.05, 1.835, 1.918, 6.581, 1.812, 1.035]	saved figure 122.png
frame 124/600	5.534s	[0.298, -0.001, 8.777]	[2.405, 1.524, 1.737, 1.067, 1.821, 1.932, 6.668, 1.784, 1.046]	saved figure 123.png
frame 125/600	0.530s	[0.298, -0.001, 8.777]	[2.368, 1.51, 1.743, 1.083, 1.81, 1.944, 6.748, 1.77, 1.057]	saved figure 124.png
frame 126/600	5.411s	[-0.612, 0.003, 7.301]	[2.329, 1.496, 1.749, 1.098, 1.803, 1.952, 6.827, 1.758, 1.068]	saved figure 125.png
frame 127/600	3.276s	[-0.601, 0.003, 7.4]	[2.288, 1.481, 1.758, 1.11, 1.799, 1.958, 6.899, 1.764, 1.079]	saved figure 126.png
frame 128/600	2.124s	[-0.615, 0.003, 7.383]	[2.244, 1.465, 1.768, 1.12, 1.799, 1.96, 6.965, 1.767, 1.09]	saved figure 127.png
frame 129/600	10.343s	[-117.282, 0.683, 40.408]	[2.198, 1.45, 1.782, 1.127, 1.804, 1.96, 7.037, 1.765, 1.101]	saved figure 128.png
frame 130/600	6.016s	[-4.082, -0.045, 8.007]	[2.149, 1.435, 1.799, 1.132, 1.814, 1.958, 7.092, 1.772, 1.112]	saved figure 129.png
frame 131/600	4.879s	[-4.165, -0.044, 7.826]	[2.099, 1.42, 1.82, 1.133, 1.829, 1.953, 7.147, 1.779, 1.123]	saved figure 130.png
frame 132/600	4.113s	[-4.229, -0.044, 7.677]	[2.046, 1.407, 1.845, 1.131, 1.85, 1.947, 7.199, 1.778, 1.135]	saved figure 131.png
frame 133/600	10.754s	[7.761, -0.035, 1.774]	[1.993, 1.394, 1.873, 1.127, 1.875, 1.94, 7.249, 1.661, 1.146]	saved figure 132.png
