frame 75/600	313s	0.364s	True	[-21.279, 0.023, -101.239]	[-115.812, 0.005, 236.542]	[0.0, 0.0, 0.0]	saved figure 74.png
frame 76/600	317s	0.608s	True	[-17.703, 0.019, -113.197]	[-101.517, 0.005, 219.144]	[0.0, 0.0, 0.0]	saved figure 75.png
frame 77/600	319s	0.412s	True	[-14.128, 0.016, -125.154]	[-87.222, 0.005, 201.746]	[0.0, 0.0, 0.0]	saved figure 76.png
frame 78/600	321s	0.353s	True	[-10.553, 0.012, -137.112]	[-72.927, 0.005, 184.349]	[0.0, 0.0, 0.0]	saved figure 77.png
frame 79/600	323s	0.195s	True	[-6.977, 0.009, -149.07]	[-58.632, 0.005, 166.951]	[0.0, 0.0, 0.0]	saved figure 78.png
frame 80/600	324s	0.432s	True	[-3.402, 0.005, -161.028]	[-44.337, 0.005, 149.554]	[0.0, 0.0, 0.0]	saved figure 79.png
frame 81/600	327s	0.972s	True	[0.314, 0.002, -173.229]	[-30.185, 0.005, 132.396]	[0.0, 0.0, 0.0]	saved figure 80.png
frame 82/600	335s	3.073s	True	[6.832, -0.002, -190.15]	[-18.845, 0.007, 119.948]	[0.0, 0.0, 0.0]	saved figure 81.png
frame 83/600	340s	0.358s	True	[13.35, -0.006, -207.07]	[-7.505, 0.008, 107.5]	[0.0, 0.0, 0.0]	saved figure 82.png
frame 84/600	341s	0.341s	True	[19.867, -0.009, -223.991]	[3.835, 0.009, 95.052]	[0.0, 0.0, 0.0]	saved figure 83.png
frame 85/600	343s	0.225s	True	[26.385, -0.013, -240.912]	[15.175, 0.01, 82.604]	[0.0, 0.0, 0.0]	saved figure 84.png
frame 86/600	345s	1.018s	True	[32.903, -0.016, -257.832]	[26.516, 0.011, 70.156]	[0.0, 0.0, 0.0]	saved figure 85.png
frame 87/600	349s	1.020s	True	[39.42, -0.02, -274.753]	[37.856, 0.012, 57.708]	[0.0, 0.0, 0.0]	saved figure 86.png
frame 88/600	353s	0.551s	True	[45.938, -0.024, -291.673]	[49.196, 0.013, 45.26]	[0.0, 0.0, 0.0]	saved figure 87.png
frame 89/600	355s	0.429s	True	[52.455, -0.027, -308.594]	[60.536, 0.014, 32.812]	[0.0, 0.0, 0.0]	saved figure 88.png
frame 90/600	357s	0.306s	True	[58.973, -0.031, -325.515]	[71.876, 0.016, 20.363]	[0.0, 0.0, 0.0]	saved figure 89.png
frame 91/600	359s	0.717s	True	[65.49, -0.034, -342.435]	[83.216, 0.017, 7.915]	[0.0, 0.0, 0.0]	saved figure 90.png
frame 92/600	364s	0.604s	True	[72.008, -0.038, -359.356]	[94.556, 0.018, -4.533]	[0.0, 0.0, 0.0]	saved figure 91.png
frame 93/600	366s	0.445s	True	[78.525, -0.041, -376.277]	[105.896, 0.019, -16.981]	[0.0, 0.0, 0.0]	saved figure 92.png
frame 94/600	368s	0.228s	True	[85.042, -0.045, -393.197]	[117.237, 0.02, -29.429]	[0.0, 0.0, 0.0]	saved figure 93.png
frame 95/600	370s	0.363s	True	[91.56, -0.049, -410.118]	[128.577, 0.021, -41.877]	[0.0, 0.0, 0.0]	saved figure 94.png
frame 96/600	372s	0.392s	True	[98.077, -0.052, -427.039]	[139.917, 0.022, -54.325]	[0.0, 0.0, 0.0]	saved figure 95.png
frame 97/600	374s	0.433s	True	[104.594, -0.056, -443.959]	[151.257, 0.023, -66.773]	[0.0, 0.0, 0.0]	saved figure 96.png
frame 98/600	381s	4.438s	True	[-213.623, 0.12, -457.798]	[162.597, 0.025, -79.221]	[0.0, 0.0, 0.0]	saved figure 97.png
frame 99/600	395s	8.616s	True	[-192.732, 0.139, -456.583]	[127.799, 0.035, -49.105]	[0.0, 0.0, 0.0]	saved figure 98.png
frame 100/600	405s	0.347s	True	[-171.842, 0.159, -455.369]	[93.001, 0.046, -18.989]	[0.0, 0.0, 0.0]	saved figure 99.png
frame 101/600	407s	0.225s	True	[-150.951, 0.178, -454.154]	[58.202, 0.057, 11.128]	[0.0, 0.0, 0.0]	saved figure 100.png
frame 102/600	409s	1.497s	True	[-119.91, 0.19, -433.438]	[23.404, 0.067, 41.244]	[0.0, 0.0, 0.0]	saved figure 101.png
frame 103/600	412s	0.206s	True	[-88.869, 0.202, -412.723]	[-11.394, 0.078, 71.36]	[0.0, 0.0, 0.0]	saved figure 102.png
frame 104/600	414s	0.218s	True	[-57.827, 0.214, -392.007]	[-46.192, 0.089, 101.476]	[0.0, 0.0, 0.0]	saved figure 103.png
frame 105/600	415s	0.362s	True	[-26.786, 0.226, -371.291]	[-80.99, 0.099, 131.593]	[0.0, 0.0, 0.0]	saved figure 104.png
frame 106/600	424s	7.055s	True	[-3.325, 0.215, -357.143]	[-103.189, 0.094, 125.196]	[0.0, 0.0, 0.0]	saved figure 105.png
frame 107/600	432s	0.777s	True	[21.455, 0.201, -338.187]	[-120.429, 0.084, 107.124]	[0.0, 0.0, 0.0]	saved figure 106.png
frame 108/600	446s	6.866s	True	[-41.892, -0.137, -292.337]	[-122.656, 0.061, 59.837]	[0.0, 0.0, 0.0]	saved figure 107.png
frame 109/600	461s	1.036s	True	[-102.119, -0.47, -240.733]	[-124.884, 0.038, 12.55]	[0.0, 0.0, 0.0]	saved figure 108.png
frame 110/600	467s	3.134s	True	[-157.826, -0.794, -182.826]	[-127.111, 0.015, -34.737]	[0.0, 0.0, 0.0]	saved figure 109.png
frame 111/600	476s	5.201s	True	[17.99, 0.046, -251.101]	[-129.338, -0.009, -82.024]	[0.0, 0.0, 0.0]	saved figure 110.png
frame 112/600	493s	4.486s	True	[23.123, 0.015, -233.67]	[-131.565, -0.032, -129.311]	[0.0, 0.0, 0.0]	saved figure 111.png
frame 113/600	507s	0.373s	True	[28.256, -0.016, -216.238]	[-133.793, -0.055, -176.598]	[0.0, 0.0, 0.0]	saved figure 112.png
frame 114/600	508s	0.214s	True	[33.389, -0.046, -198.807]	[-136.02, -0.078, -223.885]	[0.0, 0.0, 0.0]	saved figure 113.png
frame 115/600	513s	0.527s	True	[38.523, -0.077, -181.376]	[-138.247, -0.101, -271.172]	[0.0, 0.0, 0.0]	saved figure 114.png
frame 116/600	516s	0.520s	True	[43.656, -0.108, -163.945]	[-140.474, -0.125, -318.459]	[0.0, 0.0, 0.0]	saved figure 115.png
frame 117/600	518s	0.425s	True	[48.789, -0.138, -146.514]	[-142.702, -0.148, -365.747]	[0.0, 0.0, 0.0]	saved figure 116.png
frame 118/600	522s	3.459s	True	[46.348, -0.149, -151.441]	[-134.988, -0.166, -403.05]	[0.0, 0.0, 0.0]	saved figure 117.png
frame 119/600	533s	1.105s	True	[47.958, -0.154, -139.61]	[-97.178, -0.167, -402.914]	[0.0, 0.0, 0.0]	saved figure 118.png
frame 120/600	538s	1.941s	True	[49.306, -0.159, -128.474]	[-56.796, -0.166, -398.754]	[0.0, 0.0, 0.0]	saved figure 119.png
frame 121/600	551s	3.105s	True	[50.387, -0.162, -117.987]	[-14.995, -0.163, -391.689]	[0.0, 0.0, 0.0]	saved figure 120.png
frame 122/600	564s	2.518s	True	[51.212, -0.165, -108.109]	[27.969, -0.159, -381.284]	[0.0, 0.0, 0.0]	saved figure 121.png
frame 123/600	571s	3.301s	True	[51.779, -0.166, -98.801]	[72.957, -0.151, -361.389]	[0.0, 0.0, 0.0]	saved figure 122.png
frame 124/600	580s	2.034s	True	[52.078, -0.167, -90.024]	[117.945, -0.142, -341.495]	[0.0, 0.0, 0.0]	saved figure 123.png
frame 125/600	583s	0.227s	True	[52.376, -0.168, -81.246]	[162.934, -0.134, -321.6]	[0.0, 0.0, 0.0]	saved figure 124.png
frame 126/600	590s	3.262s	True	[51.764, -0.165, -73.945]	[205.451, -0.12, -290.231]	[0.0, 0.0, 0.0]	saved figure 125.png
frame 127/600	595s	0.821s	True	[51.163, -0.163, -66.546]	[247.835, -0.106, -258.512]	[0.0, 0.0, 0.0]	saved figure 126.png
frame 128/600	601s	2.562s	True	[50.548, -0.16, -59.162]	[283.527, -0.087, -215.07]	[0.0, 0.0, 0.0]	saved figure 127.png
frame 129/600	611s	5.712s	True	[-66.734, 0.523, -18.754]	[309.874, -0.062, -160.063]	[0.0, 0.0, 0.0]	saved figure 128.png
frame 130/600	628s	3.382s	True	[-70.816, 0.478, -10.747]	[336.221, -0.037, -105.057]	[0.0, 0.0, 0.0]	saved figure 129.png
frame 131/600	643s	2.473s	True	[-74.982, 0.434, -2.922]	[355.995, -0.011, -46.13]	[0.0, 0.0, 0.0]	saved figure 130.png
frame 132/600	655s	2.604s	True	[-79.211, 0.39, 4.755]	[360.535, 0.018, 18.471]	[0.0, 0.0, 0.0]	saved figure 131.png
frame 133/600	668s	8.560s	True	[-71.45, 0.355, 6.529]	[259.069, 0.046, 92.127]	[0.0, 0.0, 0.0]	saved figure 132.png
frame 134/600	682s	2.832s	True	[-59.588, 0.321, 9.632]	[153.493, 0.071, 164.44]	[0.0, 0.0, 0.0]	saved figure 133.png
frame 135/600	694s	6.925s	True	[-100.147, 0.421, 75.89]	[23.728, 0.097, 227.324]	[0.0, 0.0, 0.0]	saved figure 134.png
frame 136/600	705s	0.689s	True	[-140.705, 0.52, 142.149]	[-106.036, 0.123, 290.207]	[0.0, 0.0, 0.0]	saved figure 135.png
frame 137/600	710s	2.663s	True	[-78.824, 0.272, 186.621]	[-235.801, 0.148, 353.09]	[0.0, 0.0, 0.0]	saved figure 136.png
frame 138/600	716s	1.766s	True	[-16.949, 0.024, 231.095]	[-286.766, 0.142, 336.742]	[0.0, 0.0, 0.0]	saved figure 137.png
frame 139/600	732s	7.466s	True	[-55.7, 0.225, 301.754]	[-293.332, 0.123, 284.408]	[0.0, 0.0, 0.0]	saved figure 138.png
frame 140/600	748s	0.846s	True	[-94.449, 0.426, 372.411]	[-298.56, 0.103, 231.225]	[0.0, 0.0, 0.0]	saved figure 139.png
frame 141/600	758s	3.212s	True	[-133.19, 0.627, 443.065]	[-299.905, 0.082, 176.198]	[0.0, 0.0, 0.0]	saved figure 140.png
frame 142/600	764s	1.341s	True	[-171.919, 0.828, 513.713]	[-296.998, 0.06, 119.793]	[0.0, 0.0, 0.0]	saved figure 141.png
frame 143/600	775s	4.307s	True	[38.573, -0.178, 449.202]	[-269.268, 0.037, 59.007]	[0.0, 0.0, 0.0]	saved figure 142.png
frame 144/600	791s	3.802s	True	[44.259, -0.149, 484.698]	[-241.538, 0.013, -1.779]	[0.0, 0.0, 0.0]	saved figure 143.png
frame 145/600	803s	0.822s	True	[49.944, -0.121, 520.195]	[-213.807, -0.011, -62.565]	[0.0, 0.0, 0.0]	saved figure 144.png
frame 146/600	806s	0.235s	True	[55.63, -0.092, 555.692]	[-186.077, -0.034, -123.35]	[0.0, 0.0, 0.0]	saved figure 145.png
frame 147/600	808s	0.410s	True	[61.315, -0.064, 591.189]	[-158.347, -0.058, -184.136]	[0.0, 0.0, 0.0]	saved figure 146.png
frame 148/600	815s	4.931s	True	[66.999, -0.035, 626.681]	[-117.384, -0.077, -232.363]	[0.0, 0.0, 0.0]	saved figure 147.png
frame 149/600	825s	4.159s	True	[50.397, -0.217, 574.246]	[-59.628, -0.088, -257.913]	[0.0, 0.0, 0.0]	saved figure 148.png
frame 150/600	840s	2.636s	True	[33.796, -0.399, 521.814]	[2.078, -0.096, -275.429]	[0.0, 0.0, 0.0]	saved figure 149.png
frame 151/600	854s	6.032s	True	[53.211, -0.153, 602.208]	[83.211, -0.078, -223.364]	[0.0, 0.0, 0.0]	saved figure 150.png
frame 152/600	871s	1.005s	True	[87.578, 0.066, 625.635]	[164.345, -0.061, -171.3]	[0.0, 0.0, 0.0]	saved figure 151.png
frame 153/600	879s	1.773s	True	[125.778, 0.267, 626.732]	[245.425, -0.043, -119.235]	[0.0, 0.0, 0.0]	saved figure 152.png
