frame 47/400	actuation=[  2.77304653   3.43652487 -19.51482553]+[ 19.30296738  20.03075185 -20.71257462]	state=[0.00146633 0.00276055 0.91694441]+[-0.50924786 -0.48412216  0.8994939 ]	compute_time=4.660379s	n_f_eval=1125	saved figure 46.png in 13.228489s
frame 48/400	actuation=[  2.64082354   3.60123503 -19.80051012]+[ 18.9159974   19.81243217 -21.61122922]	state=[0.00124062 0.00238534 0.93233317]+[-0.5105263  -0.48803181  0.91733362]	compute_time=4.662377s	n_f_eval=1125	saved figure 47.png in 13.303418s
frame 49/400	actuation=[  2.47287181   3.7189477  -19.94586375]+[ 18.42856778  19.49308372 -22.33479245]	state=[0.00117882 0.00222022 0.94651209]+[-0.51111543 -0.4914409   0.93346655]	compute_time=4.772584s	n_f_eval=1125	saved figure 48.png in 14.040405s
frame 50/400	actuation=[  2.27661478   3.78809021 -19.95528299]+[ 17.8470483   19.08032193 -22.88005315]	state=[0.00127285 0.00226552 0.95947686]+[-0.51105697 -0.49434812  0.94787892]	compute_time=4.844896s	n_f_eval=1125	saved figure 49.png in 13.164651s
frame 51/400	actuation=[  2.0591884    3.80820855 -19.83416982]+[ 17.17834227  18.58200324 -23.24576956]	state=[0.00151433 0.00251878 0.97123029]+[-0.51039447 -0.49675098  0.96056902]	compute_time=4.633620s	n_f_eval=1150	saved figure 50.png in 16.734580s
frame 52/400	actuation=[  1.82728725   3.7800233  -19.58871066]+[ 16.42989012  18.00612075 -23.43253227]	state=[0.0018949  0.00297495 0.98178208]+[-0.50917299 -0.49864645  0.97154673]	compute_time=10.124997s	n_f_eval=1150	saved figure 51.png in 21.704094s
frame 53/400	actuation=[  1.58701417   3.705126   -19.22580292]+[ 15.60947878  17.36068632 -23.44266865]	state=[0.00240639 0.00362659 0.99114846]+[-0.50743885 -0.50003174  0.98083298]	compute_time=7.648458s	n_f_eval=1150	saved figure 52.png in 19.497542s
frame 54/400	actuation=[  1.34381668   3.58586167 -18.75292202]+[ 14.72518549  16.65367044 -23.2800686 ]	state=[0.00304095 0.00446411 0.99935182]+[-0.50523929 -0.50090507  0.98845915]	compute_time=4.811478s	n_f_eval=1150	saved figure 53.png in 13.573563s
frame 55/400	actuation=[  1.10246098   3.42522153 -18.17801086]+[ 13.78534509  15.89298172 -22.95004807]	state=[0.00379102 0.0054761  1.00642031]+[-0.5026221  -0.5012664   0.99446638]	compute_time=4.817121s	n_f_eval=1150	saved figure 54.png in 13.682224s
frame 56/400	actuation=[  0.86703247   3.226687   -17.50942642]+[ 12.79851725  15.08645679 -22.45923045]	state=[0.0046493  0.00664952 1.01238742]+[-0.49963519 -0.50111802  0.99890487]	compute_time=5.730989s	n_f_eval=1150	saved figure 55.png in 17.271811s
frame 57/400	actuation=[  0.64090967   2.99410126 -16.75581062]+[ 11.77334124  14.24176779 -21.81541356]	state=[0.00560873 0.00797003 1.01729147]+[-0.49632619 -0.50046521  1.00183312]	compute_time=5.279422s	n_f_eval=1150	saved figure 56.png in 13.671331s
frame 58/400	actuation=[  0.42737509   2.73069434 -15.92522448]+[ 10.71840046  13.36696244 -21.0280372 ]	state=[0.00666229 0.00942226 1.02117523]+[-0.49274196 -0.49931664  1.00331715]	compute_time=5.660152s	n_f_eval=1425	saved figure 57.png in 16.519754s
frame 59/400	actuation=[  0.22719555   2.4427496  -15.02862547]+[  9.64261787  12.46819519 -20.10555253]	state=[0.00780299 0.01098999 1.02408538]+[-0.48892821 -0.49768472  1.00342961]	compute_time=4.682496s	n_f_eval=1150	saved figure 58.png in 20.094907s
frame 60/400	actuation=[  0.04332809   2.13239697 -14.07306124]+[  8.5544048   11.55383515 -19.05987195]	state=[0.00902364 0.01265653 1.026072  ]+[-0.48492902 -0.49558587  1.00224903]	compute_time=8.690686s	n_f_eval=1425	saved figure 59.png in 20.634774s
frame 61/400	actuation=[ -0.12401604   1.80513012 -13.06872284]+[  7.46226978  10.63008431 -17.90153394]	state=[0.0103168  0.01440484 1.0271881 ]+[-0.48078649 -0.49304054  0.99985892]	compute_time=9.232015s	n_f_eval=1425	saved figure 60.png in 39.046662s
frame 62/400	actuation=[ -0.44061367   1.48248001 -12.0248389 ]+[  6.39850093   9.64719846 -16.63861652]	state=[0.01167469 0.01621784 1.02748915]+[-0.4765404  -0.49007326  0.99634691]	compute_time=14.934059s	n_f_eval=1425	saved figure 61.png in 37.056170s
frame 63/400	actuation=[ -0.75743514   1.13678466 -10.94996907]+[  5.34474916   8.66242243 -15.28723155]	state=[0.01308079 0.01808229 1.02703258]+[-0.47222637 -0.48671541  0.99180404]	compute_time=13.376777s	n_f_eval=1425	saved figure 62.png in 19.974761s
